name,artists,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Sahibaa,Hariharan,2lMkpgEiIP4TAvDvJ1PLo1,43,0.626,0.684,4,-5.524,0,0.0408,0.558,0.012,0.158,0.623,144.019,audio_features,spotify:track:2lMkpgEiIP4TAvDvJ1PLo1,https://api.spotify.com/v1/tracks/2lMkpgEiIP4TAvDvJ1PLo1,https://api.spotify.com/v1/audio-analysis/2lMkpgEiIP4TAvDvJ1PLo1,281421,4
Thanaro,"Sreenath Bhasi, Rex Vijayan",3goK2x6uFJjL2LsL0Zzsxt,42,0.598,0.749,11,-7.175,0,0.0355,0.37,0.318,0.165,0.851,90.023,audio_features,spotify:track:3goK2x6uFJjL2LsL0Zzsxt,https://api.spotify.com/v1/tracks/3goK2x6uFJjL2LsL0Zzsxt,https://api.spotify.com/v1/audio-analysis/3goK2x6uFJjL2LsL0Zzsxt,216596,4
Neelathamare,Karthik,3m1HSFmeDGAKFaOrsWHubD,42,0.567,0.845,9,-5.962,0,0.0578,0.104,0.0003,0.321,0.638,154.035,audio_features,spotify:track:3m1HSFmeDGAKFaOrsWHubD,https://api.spotify.com/v1/tracks/3m1HSFmeDGAKFaOrsWHubD,https://api.spotify.com/v1/audio-analysis/3m1HSFmeDGAKFaOrsWHubD,275760,4
Kayyetha Kombatho - Female Version,Manjari,5JskGMXm53bay2bphweIzK,28,0.705,0.438,4,-8.229,0,0.0276,0.215,0.0,0.234,0.596,99.098,audio_features,spotify:track:5JskGMXm53bay2bphweIzK,https://api.spotify.com/v1/tracks/5JskGMXm53bay2bphweIzK,https://api.spotify.com/v1/audio-analysis/5JskGMXm53bay2bphweIzK,298227,3
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",7F8RNvTQlvbeBLeenycvN6,70,0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549,audio_features,spotify:track:7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/tracks/7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/audio-analysis/7F8RNvTQlvbeBLeenycvN6,470500,4
Vandine thedum - Extended Version,"Rajat Prakash, Akhilesh Ramachandran, Rehna Shaz",1LEn1MF7PGfBougaTFOD8R,54,0.683,0.193,3,-12.86,1,0.0573,0.971,0.00773,0.292,0.882,150.182,audio_features,spotify:track:1LEn1MF7PGfBougaTFOD8R,https://api.spotify.com/v1/tracks/1LEn1MF7PGfBougaTFOD8R,https://api.spotify.com/v1/audio-analysis/1LEn1MF7PGfBougaTFOD8R,144000,3
"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,1zzejMGRYKP5XOa3FmzXfa,73,0.765,0.642,7,-8.48,0,0.115,0.243,0.00104,0.339,0.822,148.465,audio_features,spotify:track:1zzejMGRYKP5XOa3FmzXfa,https://api.spotify.com/v1/tracks/1zzejMGRYKP5XOa3FmzXfa,https://api.spotify.com/v1/audio-analysis/1zzejMGRYKP5XOa3FmzXfa,181818,3
Kokkorakko,"Udit Narayan, Sujatha, Yugabharathi",161BGczu2fn59QR7EYdjWB,62,0.708,0.779,0,-5.654,1,0.268,0.249,0.0,0.421,0.84,92.877,audio_features,spotify:track:161BGczu2fn59QR7EYdjWB,https://api.spotify.com/v1/tracks/161BGczu2fn59QR7EYdjWB,https://api.spotify.com/v1/audio-analysis/161BGczu2fn59QR7EYdjWB,274218,3
Marjaani,"Pritam, Sukhwinder Singh, Sunidhi Chauhan",2nNaw1QUcqiEX6pBFxcpp3,52,0.773,0.951,11,-4.054,0,0.0577,0.0693,0.0083,0.321,0.603,109.427,audio_features,spotify:track:2nNaw1QUcqiEX6pBFxcpp3,https://api.spotify.com/v1/tracks/2nNaw1QUcqiEX6pBFxcpp3,https://api.spotify.com/v1/audio-analysis/2nNaw1QUcqiEX6pBFxcpp3,323942,4
Nan Adicha,"Vijay Antony, Shankar Mahadevan",709CXottAkQWL83UqsilQc,51,0.775,0.873,10,-5.171,1,0.205,0.255,2.58e-05,0.201,0.515,82.514,audio_features,spotify:track:709CXottAkQWL83UqsilQc,https://api.spotify.com/v1/tracks/709CXottAkQWL83UqsilQc,https://api.spotify.com/v1/audio-analysis/709CXottAkQWL83UqsilQc,275320,4
Lajjavathiye,Jassie Gift,7n4224MEBhKhAZoLwNfA5x,54,0.871,0.858,10,-9.753,0,0.1,0.00193,0.0,0.0202,0.804,110.707,audio_features,spotify:track:7n4224MEBhKhAZoLwNfA5x,https://api.spotify.com/v1/tracks/7n4224MEBhKhAZoLwNfA5x,https://api.spotify.com/v1/audio-analysis/7n4224MEBhKhAZoLwNfA5x,277866,4
Kabhi Kabhi Aditi,Rashid Ali,3APdIdF8H0jsxSuGOqXedS,69,0.791,0.558,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077,audio_features,spotify:track:3APdIdF8H0jsxSuGOqXedS,https://api.spotify.com/v1/tracks/3APdIdF8H0jsxSuGOqXedS,https://api.spotify.com/v1/audio-analysis/3APdIdF8H0jsxSuGOqXedS,218836,4
Chand Sifarish,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",5EYZZvmNAH5VZCwuzYJqoA,68,0.829,0.665,2,-8.128,1,0.0868,0.242,1.75e-05,0.123,0.861,122.043,audio_features,spotify:track:5EYZZvmNAH5VZCwuzYJqoA,https://api.spotify.com/v1/tracks/5EYZZvmNAH5VZCwuzYJqoA,https://api.spotify.com/v1/audio-analysis/5EYZZvmNAH5VZCwuzYJqoA,275931,4
"Nebulakal - Travel Song - From ""Manjummel Boys""","Sushin Shyam, Pradeep Kumar, Anwar Ali",1jxFfazgOVIJeYbhBm2ENV,62,0.575,0.896,3,-6.314,1,0.0529,0.327,0.0749,0.0729,0.261,132.025,audio_features,spotify:track:1jxFfazgOVIJeYbhBm2ENV,https://api.spotify.com/v1/tracks/1jxFfazgOVIJeYbhBm2ENV,https://api.spotify.com/v1/audio-analysis/1jxFfazgOVIJeYbhBm2ENV,282812,4
"Venmegham - From ""2018""","Nobin Paul, Joe Paul, K. S. Harisankar",1GcMVclJHbwwbGC6zBc2bJ,58,0.514,0.478,5,-8.702,1,0.0287,0.401,0.0,0.135,0.114,90.029,audio_features,spotify:track:1GcMVclJHbwwbGC6zBc2bJ,https://api.spotify.com/v1/tracks/1GcMVclJHbwwbGC6zBc2bJ,https://api.spotify.com/v1/audio-analysis/1GcMVclJHbwwbGC6zBc2bJ,195514,4
Aaroral,"K. J. Yesudas, Sujatha Mohan",1qX5I3mheyAwq4iz4qrPSx,41,0.533,0.594,3,-8.261,1,0.0394,0.394,8.31e-05,0.275,0.353,122.822,audio_features,spotify:track:1qX5I3mheyAwq4iz4qrPSx,https://api.spotify.com/v1/tracks/1qX5I3mheyAwq4iz4qrPSx,https://api.spotify.com/v1/audio-analysis/1qX5I3mheyAwq4iz4qrPSx,351547,4
Odimaga,"Sushin Shyam, Nazriya Nazim, Vinayak Sasikumar",2qu6IQOzoAIgzCSLX2RXVQ,66,0.512,0.684,4,-9.533,0,0.191,0.0749,0.865,0.102,0.276,149.971,audio_features,spotify:track:2qu6IQOzoAIgzCSLX2RXVQ,https://api.spotify.com/v1/tracks/2qu6IQOzoAIgzCSLX2RXVQ,https://api.spotify.com/v1/audio-analysis/2qu6IQOzoAIgzCSLX2RXVQ,171200,4
Sukhamaanee Nilaavu,"Mohan Sithara, Vidhu Prathap, Jyotsna",323OxeKArlvb13XDelmGJr,46,0.711,0.605,4,-11.115,1,0.0442,0.173,6.89e-05,0.101,0.353,101.991,audio_features,spotify:track:323OxeKArlvb13XDelmGJr,https://api.spotify.com/v1/tracks/323OxeKArlvb13XDelmGJr,https://api.spotify.com/v1/audio-analysis/323OxeKArlvb13XDelmGJr,318787,4
Medapoompattum Chutti,Najim Arshad,3Lvt4iB1pLc81evTO7AfjZ,41,0.303,0.243,4,-11.279,1,0.0302,0.86,0.000163,0.0915,0.35,143.61,audio_features,spotify:track:3Lvt4iB1pLc81evTO7AfjZ,https://api.spotify.com/v1/tracks/3Lvt4iB1pLc81evTO7AfjZ,https://api.spotify.com/v1/audio-analysis/3Lvt4iB1pLc81evTO7AfjZ,172199,3
Kaanumbol Parayaamo,"Mohan Sithara, K. J. Yesudas, K. S. Chithra",3y2Z29Qa67snlLsqg0bECq,39,0.682,0.374,5,-11.162,0,0.0258,0.493,0.000241,0.209,0.695,103.001,audio_features,spotify:track:3y2Z29Qa67snlLsqg0bECq,https://api.spotify.com/v1/tracks/3y2Z29Qa67snlLsqg0bECq,https://api.spotify.com/v1/audio-analysis/3y2Z29Qa67snlLsqg0bECq,296267,4
Kaana Kuyile,"Anne Amie, Deepak Dev, Evugin",49HiSytCmA9gbwvWORUOPq,57,0.631,0.568,5,-9.144,1,0.0315,0.489,0.000703,0.115,0.236,108.055,audio_features,spotify:track:49HiSytCmA9gbwvWORUOPq,https://api.spotify.com/v1/tracks/49HiSytCmA9gbwvWORUOPq,https://api.spotify.com/v1/audio-analysis/49HiSytCmA9gbwvWORUOPq,343147,4
"Galatta - From ""Aavesham""","Sushin Shyam, Paal Dabba, Vinayak Sasikumar",6hA8stAJBcUFivvkhEEBeq,66,0.552,0.93,9,-5.228,1,0.335,0.158,0.0,0.372,0.712,169.849,audio_features,spotify:track:6hA8stAJBcUFivvkhEEBeq,https://api.spotify.com/v1/tracks/6hA8stAJBcUFivvkhEEBeq,https://api.spotify.com/v1/audio-analysis/6hA8stAJBcUFivvkhEEBeq,130019,4
Ee Kadalinu Kolu,"K. J. Yesudas, Sujatha",08gr4IfQcs9m20PsljllEk,26,0.423,0.436,2,-11.2,0,0.176,0.602,0.00116,0.0742,0.558,173.875,audio_features,spotify:track:08gr4IfQcs9m20PsljllEk,https://api.spotify.com/v1/tracks/08gr4IfQcs9m20PsljllEk,https://api.spotify.com/v1/audio-analysis/08gr4IfQcs9m20PsljllEk,304692,3
Pranasakhi Njan,K. J. Yesudas,0ACkRcScRlz4SMxgqlDi5p,28,0.402,0.341,11,-10.478,1,0.0418,0.787,0.0,0.221,0.317,156.313,audio_features,spotify:track:0ACkRcScRlz4SMxgqlDi5p,https://api.spotify.com/v1/tracks/0ACkRcScRlz4SMxgqlDi5p,https://api.spotify.com/v1/audio-analysis/0ACkRcScRlz4SMxgqlDi5p,213747,3
Thamaranoolinal,"Ouseppachan, G Venugopal, Gayatri Asokan",0AWWr9JEjfNG1DqtEndgB8,42,0.444,0.275,9,-10.885,0,0.0366,0.641,0.0,0.0878,0.412,149.976,audio_features,spotify:track:0AWWr9JEjfNG1DqtEndgB8,https://api.spotify.com/v1/tracks/0AWWr9JEjfNG1DqtEndgB8,https://api.spotify.com/v1/audio-analysis/0AWWr9JEjfNG1DqtEndgB8,250133,3
Shaam Shaandaar,Amit Trivedi,0BrEDXo0w5pmEqDd67oERv,41,0.655,0.775,6,-4.406,0,0.0862,0.0307,0.00112,0.0494,0.637,133.998,audio_features,spotify:track:0BrEDXo0w5pmEqDd67oERv,https://api.spotify.com/v1/tracks/0BrEDXo0w5pmEqDd67oERv,https://api.spotify.com/v1/audio-analysis/0BrEDXo0w5pmEqDd67oERv,237464,4
Oru Narupushpamaai,K. S. Chithra,0ER2RRPm37hNKK2harmaZF,28,0.562,0.303,2,-12.923,1,0.0306,0.693,0.0,0.0845,0.491,128.035,audio_features,spotify:track:0ER2RRPm37hNKK2harmaZF,https://api.spotify.com/v1/tracks/0ER2RRPm37hNKK2harmaZF,https://api.spotify.com/v1/audio-analysis/0ER2RRPm37hNKK2harmaZF,352760,3
Neelorpam,"Anirudh Ravichander, Abby V, Shruthika Samudhrala",0HQqY1fet4LHXijtDtOoju,47,0.376,0.726,2,-5.361,1,0.04,0.0319,0.0,0.159,0.394,139.383,audio_features,spotify:track:0HQqY1fet4LHXijtDtOoju,https://api.spotify.com/v1/tracks/0HQqY1fet4LHXijtDtOoju,https://api.spotify.com/v1/audio-analysis/0HQqY1fet4LHXijtDtOoju,305357,4
Chaanjadi Aadi,Gayatri,0YDVIE8x8BD8j0zsLph9WS,42,0.628,0.48,4,-9.431,1,0.0449,0.74,0.0,0.153,0.634,82.023,audio_features,spotify:track:0YDVIE8x8BD8j0zsLph9WS,https://api.spotify.com/v1/tracks/0YDVIE8x8BD8j0zsLph9WS,https://api.spotify.com/v1/audio-analysis/0YDVIE8x8BD8j0zsLph9WS,298440,4
En Jeevane,S. Janaki,0dIjJCtzn99OS8tejpRXpT,26,0.519,0.332,2,-9.007,0,0.0294,0.577,8.77e-06,0.0865,0.221,157.94,audio_features,spotify:track:0dIjJCtzn99OS8tejpRXpT,https://api.spotify.com/v1/tracks/0dIjJCtzn99OS8tejpRXpT,https://api.spotify.com/v1/audio-analysis/0dIjJCtzn99OS8tejpRXpT,325907,4
"O Maahi (From ""Dunki"")","Pritam, Arijit Singh, Irshad Kamil",0qQ4IdhjzNr0gJhdMTf2n3,74,0.616,0.669,1,-6.836,1,0.0349,0.562,0.0,0.177,0.475,116.973,audio_features,spotify:track:0qQ4IdhjzNr0gJhdMTf2n3,https://api.spotify.com/v1/tracks/0qQ4IdhjzNr0gJhdMTf2n3,https://api.spotify.com/v1/audio-analysis/0qQ4IdhjzNr0gJhdMTf2n3,233453,4
Ariyathe Ariyathe - Duet,"P. Jayachandran, K. S. Chithra",0sKdYbXXm2U4WFN4r430Y8,52,0.712,0.429,0,-10.74,1,0.0512,0.357,1.39e-05,0.228,0.766,143.953,audio_features,spotify:track:0sKdYbXXm2U4WFN4r430Y8,https://api.spotify.com/v1/tracks/0sKdYbXXm2U4WFN4r430Y8,https://api.spotify.com/v1/audio-analysis/0sKdYbXXm2U4WFN4r430Y8,332777,4
